file,term,count
SECURITY_Version6.md,schema,0
SECURITY_Version6.md,router,0
SECURITY_Version6.md,auth,0
SECURITY_Version6.md,security,1
SECURITY_Version6.md,ai,0
SECURITY_Version6.md,asi,0
SECURITY_Version6.md,agent,0
SECURITY_Version6.md,skills,0
SECURITY_Version6.md,workflow,0
SECURITY_Version6.md,audio,0
SECURITY_Version6.md,daw,0
SECURITY_Version6.md,effects,0
SECURITY_Version6.md,mutation,0
SECURITY_Version6.md,infrastructure,0
TRIPLE-CHECK-PASS-2.md,typescript,0
TRIPLE-CHECK-PASS-2.md,trpc,0
TRIPLE-CHECK-PASS-2.md,postgres,0
TRIPLE-CHECK-PASS-2.md,schema,0
TRIPLE-CHECK-PASS-2.md,router,0
TRIPLE-CHECK-PASS-2.md,auth,2
TRIPLE-CHECK-PASS-2.md,security,16
TRIPLE-CHECK-PASS-2.md,ai,1
TRIPLE-CHECK-PASS-2.md,asi,7
TRIPLE-CHECK-PASS-2.md,agent,0
TRIPLE-CHECK-PASS-2.md,skills,13
TRIPLE-CHECK-PASS-2.md,workflow,3
TRIPLE-CHECK-PASS-2.md,audio,0
TRIPLE-CHECK-PASS-2.md,daw,0
TRIPLE-CHECK-PASS-2.md,effects,0
TRIPLE-CHECK-PASS-2.md,mutation,0
TRIPLE-CHECK-PASS-2.md,infrastructure,0
reports/alignment_report.md,typescript,0
reports/alignment_report.md,trpc,0
reports/alignment_report.md,postgres,0
reports/alignment_report.md,schema,0
reports/alignment_report.md,router,0
reports/alignment_report.md,auth,0
reports/alignment_report.md,security,0
reports/alignment_report.md,ai,0
reports/alignment_report.md,asi,0
reports/alignment_report.md,agent,0
reports/alignment_report.md,skills,0
reports/alignment_report.md,workflow,0
reports/alignment_report.md,audio,0
reports/alignment_report.md,daw,0
reports/alignment_report.md,effects,0
reports/alignment_report.md,mutation,0
reports/alignment_report.md,infrastructure,0
design-token-compiler.ts,typescript,0
design-token-compiler.ts,trpc,0
design-token-compiler.ts,postgres,0
design-token-compiler.ts,schema,0
design-token-compiler.ts,router,0
design-token-compiler.ts,auth,0
design-token-compiler.ts,security,0
design-token-compiler.ts,ai,0
design-token-compiler.ts,asi,0
design-token-compiler.ts,agent,0
design-token-compiler.ts,skills,0
design-token-compiler.ts,workflow,0
design-token-compiler.ts,audio,0
design-token-compiler.ts,daw,0
design-token-compiler.ts,effects,0
design-token-compiler.ts,mutation,0
design-token-compiler.ts,infrastructure,0
